suburb,state,postcode
Ashford,NSW,2361
Ashley,NSW,2400
Ashmont,NSW,2650
Ashtonfield,NSW,2323
Asquith,NSW,2077
Atholwood,NSW,2361
Attunga,NSW,2345
Auburn,NSW,2144
Auburn Vale,NSW,2360
Audley,NSW,2232
Austinmer,NSW,2515
Austral,NSW,2179
Austral Eden,NSW,2440
Avalon Beach,NSW,2107
Avisford,NSW,2850
Avoca,NSW,2577
Avoca Beach,NSW,2251
Avon,NSW,2574
Avondale,NSW,2530
Avonside,NSW,2628
Awaba,NSW,2283
Aylmerton,NSW,2575
Baan Baa,NSW,2390
Babinda,NSW,2825
Babyl Creek,NSW,2470
Back Creek,NSW,2372
Back Creek,NSW,2390
Back Creek,NSW,2422
Back Creek,NSW,2484
Back Creek,NSW,2622
Back Creek,NSW,2671
Back Forest,NSW,2535
Backmede,NSW,2470
Backwater,NSW,2365
Badagarang,NSW,2540
Badgerys Creek,NSW,2555
Badja,NSW,2630
Baerami,NSW,2333
Baerami Creek,NSW,2333
Bagnoo,NSW,2446
Bago,NSW,2446
Bagotville,NSW,2477
Bakers Creek,NSW,2359
Bakers Creek,NSW,2422
Bakers Creek,NSW,2447
Bakers Swamp,NSW,2820
Balaclava,NSW,2575
Balala,NSW,2358
Balcolyn,NSW,2264
Bald Blair,NSW,2365
Bald Hills,NSW,2549
Bald Nob,NSW,2370
Bald Ridge,NSW,2795
Baldersleigh,NSW,2365
Baldry,NSW,2867
Balfours Peak,NSW,2403
Balgowlah,NSW,2093
Balgowlah Heights,NSW,2093
Balgownie,NSW,2519
Balickera,NSW,2324
Balladoran,NSW,2822
Ballalaba,NSW,2622
Balldale,NSW,2646
Ballengarra,NSW,2441
Ballimore,NSW,2830
Ballina,NSW,2478
Ballyroe,NSW,2795
Balmain,NSW,2041
Balmain East,NSW,2041
Balmoral,NSW,2283
Balmoral,NSW,2571
Balranald,NSW,2715
Bamarang,NSW,2540
Banda Banda,NSW,2446
Bandon Grove,NSW,2420
Bangadang,NSW,2729
Bangalee,NSW,2541
Bangalow,NSW,2479
Bangheet,NSW,2404
Bango,NSW,2582
Bangor,NSW,2234
Banksia,NSW,2216
Banksmeadow,NSW,2019
Bankstown,NSW,2200
Bankstown Aerodrome,NSW,2200
Bannaby,NSW,2580
Bannister,NSW,2580
Banoon,NSW,2347
Banora Point,NSW,2486
Banyabba,NSW,2460
Bar Beach,NSW,2300
Bar Point,NSW,2083
Bara,NSW,2850
Baradine,NSW,2396
Barangaroo,NSW,2000
Barcoongere,NSW,2460
Barden Ridge,NSW,2234
Bardia,NSW,2565
Bardwell Park,NSW,2207
Bardwell Valley,NSW,2207
Barellan,NSW,2665
Bargo,NSW,2574
Barham,NSW,2732
Barigan,NSW,2850
Barkers Vale,NSW,2474
Barmedman,NSW,2668
Barneys Reef,NSW,2852
Barnsley,NSW,2278
Barooga,NSW,3644
Barraba,NSW,2347
Barrack Heights,NSW,2528
Barrack Point,NSW,2528
Barraganyatti,NSW,2441
Barragga Bay,NSW,2546
Barratta,NSW,2710
Barren Grounds,NSW,2577
Barrengarry,NSW,2577
Barretts Creek,NSW,2460
Barringella,NSW,2540
Barrington,NSW,2422
Barrington Tops,NSW,2422
Barringun,NSW,2840
Barry,NSW,2340
Barry,NSW,2799
Barwang,NSW,2594
Baryulgil,NSW,2460
Basin View,NSW,2540
Bass Hill,NSW,2197
Bassendean,NSW,2365
Batar Creek,NSW,2439
Bateau Bay,NSW,2261
Batehaven,NSW,2536
Batemans Bay,NSW,2536
Bathampton,NSW,2795
Bathurst,NSW,2795
Batlow,NSW,2730
Baulkham Hills,NSW,2153
Baw Baw,NSW,2580
Bawley Point,NSW,2539
Baxters Ridge,NSW,2422
Bayview,NSW,2104
Beacon Hill,NSW,2100
Beaconsfield,NSW,2015
Bean Creek,NSW,2469
Bearbong,NSW,2827
Beaumont,NSW,2577
Beaumont Hills,NSW,2155
Beckom,NSW,2665
Bective,NSW,2340
Bectric,NSW,2665
Bedgerabong,NSW,2871
Beechwood,NSW,2446
Beecroft,NSW,2119
Beecroft Peninsula,NSW,2540
Beelbangera,NSW,2680
Beemunnel,NSW,2824
Bega,NSW,2550
Beggan Beggan,NSW,2587
Belanglo,NSW,2577
Belbora,NSW,2422
Belfield,NSW,2191
Belford,NSW,2335
Belfrayden,NSW,2650
Belgravia,NSW,2800
Belimbla Park,NSW,2570
Bell,NSW,2786
Bella Vista,NSW,2153
Bellambi,NSW,2518
Bellangry,NSW,2446
Bellata,NSW,2397
Bellawongarah,NSW,2535
Bellbird,NSW,2325
Bellbird Heights,NSW,2325
Bellbrook,NSW,2440
Bellevue Hill,NSW,2023
Bellimbopinni,NSW,2440
Bellingen,NSW,2454
Bellmount Forest,NSW,2581
Belltrees,NSW,2337
Belmont,NSW,2280
Belmont North,NSW,2280
Belmont South,NSW,2280
Belmore,NSW,2192
Belmore River,NSW,2440
Beloka,NSW,2628
Belowra,NSW,2545
Belrose,NSW,2085
Bemboka,NSW,2550
Ben Bullen,NSW,2790
Ben Lomond,NSW,2365
Benandarah,NSW,2536
Bendalong,NSW,2539
Bendemeer,NSW,2355
Bendick Murrell,NSW,2803
Bendolba,NSW,2420
Bendoura,NSW,2622
Benerembah,NSW,2680
Bengalla,NSW,2333
Bennetts Green,NSW,2290
Benolong,NSW,2818
Bensville,NSW,2251
Bentley,NSW,2480
Berala,NSW,2141
Berambing,NSW,2758
Beresfield,NSW,2322
Bergalia,NSW,2537
Berkeley,NSW,2506
Berkeley Vale,NSW,2261
Berkshire Park,NSW,2765
Berlang,NSW,2622
Bermagui,NSW,2546
Berowra,NSW,2081
Berowra Heights,NSW,2082
Berowra Waters,NSW,2082
Berrambool,NSW,2548
Berrara,NSW,2540
Berremangra,NSW,2582
Berrico,NSW,2422
Berridale,NSW,2628
Berrigal,NSW,2390
Berrigan,NSW,2712
Berrilee,NSW,2159
Berrima,NSW,2577
Berringer Lake,NSW,2539
Berry,NSW,2535
Berry Jerry,NSW,2701
Berry Mountain,NSW,2535
Berry Park,NSW,2321
Berthong,NSW,2594
Beryl,NSW,2852
Bethungra,NSW,2590
Bevendale,NSW,2581
Beverley Park,NSW,2217
Beverly Hills,NSW,2209
Bewong,NSW,2540
Bexhill,NSW,2480
Bexley,NSW,2207
Bexley North,NSW,2207
Biala,NSW,2581
Bibbenluke,NSW,2632
Bickley Vale,NSW,2570
Biddon,NSW,2827
Bidgeemia,NSW,2642
Bidwill,NSW,2770
Bielsdown Hills,NSW,2453
Big Hill,NSW,2579
Big Jacks Creek,NSW,2339
Big Ridge,NSW,2330
Big Springs,NSW,2650
Bigga,NSW,2583
Bilambil,NSW,2486
Bilambil Heights,NSW,2486
Bilbul,NSW,2680
Bilgola Beach,NSW,2107
Bilgola Plateau,NSW,2107
Billeroy,NSW,2829
Billilingra,NSW,2630
Billimari,NSW,2804
Billinudgel,NSW,2483
Billys Creek,NSW,2453
Billywillinga,NSW,2795
Bilpin,NSW,2758
Bimberi,NSW,2611
Bimbi,NSW,2810
Bimbimbie,NSW,2536
Binalong,NSW,2584
Binda,NSW,2583
Bindera,NSW,2422
Bingara,NSW,2404
Bingeebeebra Creek,NSW,2469
Bingie,NSW,2537
Bingleburra,NSW,2311
Biniguy,NSW,2399
Binjura,NSW,2630
Binna Burra,NSW,2479
Binnaway,NSW,2395
Binya,NSW,2665
Birchgrove,NSW,2041
Birdwood,NSW,2446
Birganbigil,NSW,2710
Birmingham Gardens,NSW,2287
Birriwa,NSW,2844
Birrong,NSW,2143
Bishops Bridge,NSW,2326
Bithramere,NSW,2340
Black Creek,NSW,2439
Black Creek,NSW,2729
Black Head,NSW,2430
Black Hill,NSW,2322
Black Hollow,NSW,2828
Black Mountain,NSW,2365
Black Range,NSW,2550
Black Springs,NSW,2787
Blackalls Park,NSW,2283
Blackbutt,NSW,2529
Blackett,NSW,2770
Blackheath,NSW,2785
Blackmans Flat,NSW,2790
Blackmans Point,NSW,2444
Blacksmiths,NSW,2281
