,poi,address,street_number,street_name,suburb,postcode,latitude,longitude,public_school_percentile
475,Chifley Public School,"Mitchell St, Malabar NSW 2036, Australia",,Mitchell Street,Malabar,2036,-33.9661135,151.2423281,60.0
476,Panania North Public School,"202-204 Bransgrove Rd, Panania NSW 2213, Australia",202-204,Bransgrove Road,Panania,2213,-33.9457692,150.9991552,59.0
477,Birchgrove Public School,"Birchgrove Rd, Birchgrove NSW 2041, Australia",,Birchgrove Road,Birchgrove,2041,-33.8533571,151.1772536,59.0
478,Narwee Public School,"61-65 Broadarrow Rd, Narwee NSW 2209, Australia",61-65,Broadarrow Road,Narwee,2209,-33.948195,151.068717,57.9999999999999
479,Chipping Norton Public School,"4 Central Ave, Chipping Norton NSW 2170, Australia",4,Central Avenue,Chipping Norton,2170,-33.90894049999999,150.9608926,57.9999999999999
480,Beverly Hills North Public School,"1-3 Shorter Ave, Beverly Hills NSW 2209, Australia",1-3,Shorter Avenue,Beverly Hills,2209,-33.9410285,151.0745649,57.9999999999999
481,Bankstown North Public School,"322 Hume Hwy, Bankstown NSW 2200, Australia",322,Hume Highway,Bankstown,2200,-33.9050382,151.038242,56.9999999999999
482,Hilltop Road Public School,"81 Hilltop Rd, Merrylands NSW 2160, Australia",81,Hilltop Road,Merrylands,2160,-33.826257,150.9730812,56.9999999999999
483,Mount Pritchard Public School,"104 Meadows Rd, Mount Pritchard NSW 2170, Australia",104,Meadows Road,Mount Pritchard,2170,-33.900196,150.8989239,56.9999999999999
484,Smithfield Public School,"20 O'Connell St, Smithfield NSW 2164, Australia",20,O'Connell Street,Smithfield,2164,-33.8535863,150.9340583,56.9999999999999
485,Tower Street Public School,"74 Tower St, Panania NSW 2213, Australia",74,Tower Street,Panania,2213,-33.95627129999999,151.0073086,56.9999999999999
486,Lansvale Public School,"37-45 Chancery St, Canley Vale NSW 2166, Australia",37-45,Chancery Street,Canley Vale,2166,-33.89165889999999,150.9535235,56.0
487,Dee Why Public School,"Regent St, Dee Why NSW 2099, Australia",,Regent Street,Dee Why,2099,-33.74823780000001,151.2861926,56.0
488,Bankstown West Public School,"William St, Bankstown NSW 2200, Australia",,William Street,Bankstown,2200,-33.91592409999999,151.0190317,56.0
489,Engadine West Public School,"4 Buckle Ave, Engadine NSW 2233, Australia",4,Buckle Avenue,Engadine,2233,-34.0589294,151.0016632,56.0
490,Shelley Public School,"21 Hadrian Ave, Blacktown NSW 2148, Australia",21,Hadrian Avenue,Blacktown,2148,-33.7891291,150.9177789,55.0
491,Jannali East Public School,"500 Box Rd, Jannali NSW 2226, Australia",500,Box Road,Jannali,2226,-34.0174693,151.0722358,55.0
492,Greenway Park Public School,"Wyattville Dr, Carnes Hill NSW 2171, Australia",,Wyattville Drive,Carnes Hill,2171,-33.9382397,150.8375806,55.0
493,Kirrawee Public School,"146-156 Bath Rd, Kirrawee NSW 2232, Australia",146-156,Bath Road,Kirrawee,2232,-34.033404,151.0766888,55.0
494,Arncliffe Public School,"168 Princes Hwy, Arncliffe NSW 2205, Australia",168,Princes Highway,Arncliffe,2205,-33.9407159,151.1473046,55.0
495,King Park Public School,"31 Humphries Rd, Wakeley NSW 2176, Australia",31,Humphries Road,Wakeley,2176,-33.8791963,150.9112663,55.0
496,Glenwood Public School,"Corner Harrow &, 84 Belmont Rd, Glenfield NSW 2167, Australia",84,Belmont Road,Glenfield,2167,-33.9751663,150.9023895,54.0
497,Ringrose Public School,"Ringrose Ave, Greystanes NSW 2145, Australia",,Ringrose Avenue,Greystanes,2145,-33.8200758,150.9594061,54.0
498,Marayong South Public School,"Woodcroft NSW 2148, Australia",,,Woodcroft,2148,-33.760693,150.886169,54.0
499,Miranda Public School,"3 Sylva Ave, Miranda NSW 2228, Australia",3,Sylva Avenue,Miranda,2228,-34.0345502,151.0973891,53.0
500,Croydon Park Public School,"81-113 Georges River Road, 81-113 Georges River Rd, Croydon Park NSW 2133, Australia",81-113,Georges River Road,Croydon Park,2133,-33.89476570000001,151.108653,52.0
501,William Stimson Public School,"36-54 Lily St, Wetherill Park NSW 2164, Australia",36-54,Lily Street,Wetherill Park,2164,-33.85403099999999,150.9053949,52.0
502,Sylvania Public School,"46 Princes Hwy, Sylvania NSW 2224, Australia",46,Princes Highway,Sylvania,2224,-34.008301,151.1116487,52.0
503,Leppington Public School,"144 Rickard Rd, Leppington NSW 2179, Australia",144,Rickard Road,Leppington,2179,-33.9592695,150.8100519,51.0
504,Malabar Public School,"231 Franklin St, Malabar NSW 2036, Australia",231,Franklin Street,Malabar,2036,-33.9621535,151.2485111,51.0
505,Cabramatta West Public School,"38 Broad St, Cabramatta NSW 2166, Australia",38,Broad Street,Cabramatta,2166,-33.8966587,150.9221509,51.0
506,Fairfield West Public School,"1 Palmerston Rd, Fairfield West NSW 2165, Australia",1,Palmerston Road,Fairfield West,2165,-33.8682476,150.9246988,51.0
507,Toongabbie Public School,"59 Fitzwilliam Rd, Old Toongabbie NSW 2146, Australia",59,Fitzwilliam Road,Old Toongabbie,2146,-33.78731479999999,150.966609,50.0
508,Mount Kuring-gai Public School,"Mount Kuring-gai NSW 2080, Australia",,,Mount Kuring-gai,2080,-33.6577637,151.1356765,50.0
509,Birrong Public School,"130-132 Auburn Rd, Birrong NSW 2143, Australia",130-132,Auburn Road,Birrong,2143,-33.89546,151.0209038,50.0
510,Green Valley Public School,"173 Green Valley Rd, Green Valley NSW 2168, Australia",173,Green Valley Road,Green Valley,2168,-33.9021391,150.8687602,49.0
511,Bankstown Public School,"61 Restwell St, Bankstown NSW 2200, Australia",61,Restwell Street,Bankstown,2200,-33.9207115,151.0341796,48.0
512,Jannali Public School,"107/121 Sutherland Rd, Jannali NSW 2226, Australia",121,Sutherland Road,Jannali,2226,-34.0180587,151.0614624,48.0
513,Hinchinbrook Public School,"Hinchinbrook Drive &, Keppel Cct, Hinchinbrook NSW 2168, Australia",,Keppel Circuit,Hinchinbrook,2168,-33.9130282,150.8588728,48.0
514,Dalmeny Public School,"1612 Dalmeny Dr, Prestons NSW 2170, Australia",1612,Dalmeny Drive,Prestons,2170,-33.9468313,150.871401,48.0
515,Middleton Grange Public School,"50 Hall Cct, Middleton Grange NSW 2171, Australia",50,Hall Circuit,Middleton Grange,2171,-33.9177887,150.8487262,48.0
516,Matraville Soldiers Settlement Public School,"29-39 Menin Rd, Matraville NSW 2036, Australia",29-39,Menin Road,Matraville,2036,-33.9580171,151.2399783,48.0
517,Mascot Public School,"207 King St, Mascot NSW 2020, Australia",207,King Street,Mascot,2020,-33.92923199999999,151.1930244,47.0
518,Glebe Public School,"9-25 Derwent St, Glebe NSW 2037, Australia",9-25,Derwent Street,Glebe,2037,-33.8837589,151.1908893,46.0
519,Kingsgrove Public School,"327 Kingsgrove Rd, Kingsgrove NSW 2208, Australia",327,Kingsgrove Road,Kingsgrove,2208,-33.9489905,151.1017543,46.0
520,Berala Public School,"216 Harrow Rd, Berala NSW 2141, Australia",216,Harrow Road,Berala,2141,-33.8698758,151.0277606,46.0
521,East Hills Public School,"2 Lucas Rd, East Hills NSW 2213, Australia",2,Lucas Road,East Hills,2213,-33.9586464,150.9918958,45.0
522,Belmore South Public School,"718-734 Canterbury Rd, Belmore NSW 2192, Australia",718-734,Canterbury Road,Belmore,2192,-33.92437690000001,151.0913684,44.0
523,Eastlakes Public School,"6 Florence Ave, Eastlakes NSW 2018, Australia",6,Florence Avenue,Eastlakes,2018,-33.927706,151.2140018,44.0
524,Fairfield Heights Public School,"Station St, Fairfield Heights NSW 2165, Australia",,Station Street,Fairfield Heights,2165,-33.8661941,150.9404191,44.0
525,Hammondville Public School,"53-57 Walder Rd, Hammondville NSW 2170, Australia",53-57,Walder Road,Hammondville,2170,-33.9470794,150.9545173,43.0
526,Sherwood Grange Public School,"Bruce Street, Merrylands West NSW 2160, Australia",,,Merrylands West,2160,-33.8362612,150.9600074,43.0
527,McCallums Hill Public School,"McCallum St, Roselands NSW 2196, Australia",,McCallum Street,Roselands,2196,-33.93471489999999,151.0850797,42.0
528,Canley Heights Public School,"111 Cambridge St, Canley Heights NSW 2166, Australia",111,Cambridge Street,Canley Heights,2166,-33.8847021,150.9226496,42.0
529,Lansvale East Public School,"21 Riverside Rd, Lansvale NSW 2166, Australia",21,Riverside Road,Lansvale,2166,-33.8982938,150.9646398,41.0
530,Seven Hills West Public School,"Sackville St, Seven Hills NSW 2147, Australia",,Sackville Street,Seven Hills,2147,-33.7661982,150.921715,40.0
531,Rydalmere Public School,"397 Victoria Rd, Rydalmere NSW 2116, Australia",397,Victoria Road,Rydalmere,2116,-33.8137806,151.0454295,38.0
532,Yennora Public School,"6-12 Ellis Parade, Yennora NSW 2161, Australia",6-12,Ellis Parade,Yennora,2161,-33.8663675,150.9711345,38.0
533,Carramar Public School,"29 The Horsley Dr, Villawood NSW 2163, Australia",29,The Horsley Drive,Villawood,2163,-33.8852418,150.969894,38.0
534,Nuwarra Public School,"McKay Ave, Moorebank NSW 2170, Australia",,McKay Avenue,Moorebank,2170,-33.9332414,150.951494,38.0
535,Cartwright Public School,"157 Willan Dr, Cartwright NSW 2168, Australia",157,Willan Drive,Cartwright,2168,-33.924603,150.8904238,38.0
536,Bossley Park Public School,"Marconi Rd, Bossley Park NSW 2176, Australia",,Marconi Road,Bossley Park,2176,-33.8591214,150.882418,37.0
537,Rydalmere East Public School,"41 Spurway St, Ermington NSW 2115, Australia",41,Spurway Street,Ermington,2115,-33.8165397,151.0579986,37.0
538,Smithfield West Public School,"Wetherill St, Wetherill Park NSW 2164, Australia",,Wetherill Street,Wetherill Park,2164,-33.8575945,150.9177784,37.0
539,Merrylands Public School,"Fowler Rd, Merrylands NSW 2160, Australia",,Fowler Road,Merrylands,2160,-33.8407956,150.9754989,34.0
540,Athelstane Public School,"2 Athelstane Ave, Arncliffe NSW 2205, Australia",2,Athelstane Avenue,Arncliffe,2205,-33.93748530000001,151.1383517,34.0
541,Hoxton Park Public School,"99 Pacific Palms Cct, Hoxton Park NSW 2171, Australia",99,Pacific Palms Circuit,Hoxton Park,2171,-33.9317044,150.848897,34.0
542,Condell Park Public School,"76 Augusta St, Condell Park NSW 2200, Australia",76,Augusta Street,Condell Park,2200,-33.9256323,151.0136089,34.0
543,Marayong Heights Public School,"4A Guerie St, Marayong NSW 2148, Australia",4A,Guerie Street,Marayong,2148,-33.7420874,150.897083,34.0
544,Guildford West Public School,"Palmer St, Guildford West NSW 2161, Australia",,Palmer Street,Guildford West,2161,-33.8483193,150.9670486,33.0
545,Wattawa Heights Public School,"The Avenue, Bankstown NSW 2200, Australia",,The Avenue,Bankstown,2200,-33.91510760000001,151.0121586,33.0
546,Regents Park Public School,"1 Auburn Rd, Regents Park NSW 2143, Australia",1,Auburn Road,Regents Park,2143,-33.8854647,151.024693,32.0
547,Hampden Park Public School,"39/75 Hampden Rd, Lakemba NSW 2195, Australia",75,Hampden Road,Lakemba,2195,-33.9152158,151.0738401,31.0
548,Lakemba Public School,"35 Alice St S, Wiley Park NSW 2195, Australia",35,Alice Street South,Wiley Park,2195,-33.9234323,151.0708603,31.0
549,Villawood North Public School,"95 Bligh St, Fairfield East NSW 2165, Australia",95,Bligh Street,Fairfield East,2165,-33.8777498,150.9715226,31.0
550,Wiley Park Public School,"Denman Ave, Wiley Park NSW 2195, Australia",,Denman Avenue,Wiley Park,2195,-33.923476,151.0685351,30.0
551,Marayong Public School,"Davis Rd, Blacktown NSW 2148, Australia",,Davis Road,Blacktown,2148,-33.7573217,150.8952856,30.0
552,Granville Public School,"Lena St, Granville NSW 2142, Australia",,Lena Street,Granville,2142,-33.83491479999999,151.0049816,30.0
553,Liverpool Public School,"1/10-12 Railway St, Liverpool NSW 2170, Australia",10-12,Railway Street,Liverpool,2170,-33.9241401,150.9254524,28.9999999999999
554,Yagoona Public School,"425 Hume Hwy, Yagoona NSW 2199, Australia",425,Hume Highway,Yagoona,2199,-33.9088592,151.0271453,28.9999999999999
555,Merrylands East Public School,"7 Myee St, Merrylands NSW 2160, Australia",7,Myee Street,Merrylands,2160,-33.8419002,150.9894048,27.0
556,Prairievale Public School,"211 Prairie Vale Rd, Bossley Park NSW 2176, Australia",211,Prairie Vale Road,Bossley Park,2176,-33.8665662,150.8910681,26.0
557,Austral Public School,"219 Edmondson Ave, Austral NSW 2179, Australia",219,Edmondson Avenue,Austral,2179,-33.93380729999999,150.8123598,26.0
558,Guildford Public School,"1 Apia St, Guildford NSW 2161, Australia",1,Apia Street,Guildford,2161,-33.85555420000001,150.9815455,25.0
559,Victoria Avenue Public School,"64 Victoria Ave, Concord West NSW 2138, Australia",64,Victoria Avenue,Concord West,2138,-33.8479286,151.0830429,25.0
560,Ermington West Public School,"Vignes St, Ermington NSW 2115, Australia",,Vignes Street,Ermington,2115,-33.8060567,151.0584637,24.0
561,Greenacre Public School,"105 Waterloo Rd, Greenacre NSW 2190, Australia",105,Waterloo Road,Greenacre,2190,-33.9111387,151.0572363,24.0
562,Warwick Farm Public School,"Lawrence Hargrave Rd, Warwick Farm NSW 2170, Australia",,Lawrence Hargrave Road,Warwick Farm,2170,-33.9104156,150.9289872,23.0
563,Edensor Park Public School,"Swan Rd, Edensor Park NSW 2176, Australia",,Swan Road,Edensor Park,2176,-33.8826787,150.8755712,22.0
564,Bexley Public School,"330-354 Forest Rd, Sydney NSW 2207, Australia",330-354,Forest Road,Sydney,2207,-33.9476103,151.1282482,22.0
565,Bonnyrigg Public School,"58/62 Tarlington Parade, Bonnyrigg NSW 2177, Australia",62,Tarlington Parade,Bonnyrigg,2177,-33.88844209999999,150.8888785,21.0
566,Fairvale Public School,"83/99 Wolseley St, Fairfield NSW 2165, Australia",99,Wolseley Street,Fairfield,2165,-33.8767034,150.9407121,21.0
567,Punchbowl Public School,"1333 Canterbury Rd, Punchbowl NSW 2196, Australia",1333,Canterbury Road,Punchbowl,2196,-33.9308492,151.0563915,21.0
568,Auburn Public School,"Auburn Rd &, Beatrice St, Auburn NSW 2144, Australia",,Beatrice Street,Auburn,2144,-33.85455419999999,151.0317457,19.0
569,Chullora Public School,"Chullora Public School, 90 Norfolk Rd, Greenacre NSW 2190, Australia",90,Norfolk Road,Greenacre,2190,-33.8948261,151.0604107,17.0
570,Banksia Road Public School,"Greenacre NSW 2190, Australia",,,Greenacre,2190,-33.905895,151.050369,17.0
571,The Meadows Public School,"2C Fuller St, Seven Hills NSW 2147, Australia",2C,Fuller Street,Seven Hills,2147,-33.7813712,150.9425554,17.0
572,Prestons Public School,"Kurrajong &, Box Rd, Prestons NSW 2170, Australia",,Box Road,Prestons,2170,-33.9459982,150.8909367,17.0
573,Riverwood Public School,"11 Union St, Riverwood NSW 2210, Australia",11,Union Street,Riverwood,2210,-33.9471359,151.0473632,15.0
574,Cowan Public School,"1B Chandler Ave, Cowan NSW 2081, Australia",1B,Chandler Avenue,Cowan,2081,-33.5888526,151.1688871,15.0
575,Granville South Public School,"Woodville Rd & Oxford St, 276 Woodville Rd, Guildford NSW 2161, Australia",276,Woodville Road,Guildford,2161,-33.848417,150.9957898,14.0
576,Fairfield Public School,"68/82 Smart St, Fairfield NSW 2165, Australia",82,Smart Street,Fairfield,2165,-33.8673339,150.9556046,14.0
577,Auburn West Public School,"Chiswick Rd, Auburn NSW 2144, Australia",,Chiswick Road,Auburn,2144,-33.8603711,151.0198264,13.0
578,Liverpool West Public School,"118 Flowerdale Rd, Liverpool NSW 2170, Australia",118,Flowerdale Road,Liverpool,2170,-33.9256729,150.907169,13.0
579,Villawood East Public School,"Lowana Street &, Gundaroo St, Villawood NSW 2163, Australia",,Gundaroo Street,Villawood,2163,-33.889705,150.9856206,10.0
580,Busby Public School,"S Liverpool Rd, Busby NSW 2168, Australia",,South Liverpool Road,Busby,2168,-33.9116626,150.8816516,10.0
581,Ashcroft Public School,"22 Sheriff St, Ashcroft NSW 2168, Australia",22,Sheriff Street,Ashcroft,2168,-33.9159626,150.8976849,10.0
582,Old Guildford Public School,"646 Woodville Rd, Old Guildford NSW 2161, Australia",646,Woodville Road,Old Guildford,2161,-33.86755580000001,150.9866983,7.0
583,Granville East Public School,"210 The Trongate, Granville NSW 2142, Australia",210,The Trongate,Granville,2142,-33.84814019999999,151.0106413,7.0
584,Sadleir Public School,"27 Insignia St, Sadleir NSW 2168, Australia",27,Insignia Street,Sadleir,2168,-33.91690449999999,150.8908076,7.0
585,Bass Hill Public School,"611 Hume Hwy, Bass Hill NSW 2197, Australia",611,Hume Highway,Bass Hill,2197,-33.9054413,151.0060266,7.0
586,Chester Hill North Public School,"Wolumba St & Campbell Hill Road, Chester Hill NSW 2162, Australia",,,Chester Hill,2162,-33.8729125,151.0005407,6.0
587,Mount Pritchard East Public School,"Townview Rd, Mount Pritchard NSW 2170, Australia",,Townview Road,Mount Pritchard,2170,-33.9049119,150.9118953,6.0
588,Busby West Public School,"Starling St, Green Valley NSW 2168, Australia",,Starling Street,Green Valley,2168,-33.9059441,150.8735755,5.0
589,Lurnea Public School,"Reilly &, West St, Lurnea NSW 2170, Australia",,West Street,Lurnea,2170,-33.9319075,150.8931023,4.0
590,Lalor Park Public School,"72 Heffron Rd, Lalor Park NSW 2147, Australia",72,Heffron Road,Lalor Park,2147,-33.7605144,150.9314716,2.0
591,Miller Public School,"3 Shropshire St, Miller NSW 2168, Australia",3,Shropshire Street,Miller,2168,-33.9216766,150.8770896,2.0
592,Horsley Park Public School,"1759 The Horsley Dr, Horsley Park NSW 2175, Australia",1759,The Horsley Drive,Horsley Park,2175,-33.8410291,150.8525165,1.0
