,poi,address,street_number,street_name,suburb,postcode,latitude,longitude,public_school_percentile
28,Central Train Station,"Eddy Ave, Haymarket NSW 2000, Australia",,Eddy Avenue,Haymarket,2000,-33.8826375,151.2064722,
29,Chatswood Train Station,"Chatswood NSW 2067, Australia",,,Chatswood,2067,-33.7967905,151.1806876,
30,Cheltenham Train Station,"Cheltenham NSW 2119, Australia",,,Cheltenham,2119,-33.7557491,151.0785565,
31,Chester Hill Train Station,"Chester Hill Rd, Chester Hill NSW 2162, Australia",,Chester Hill Road,Chester Hill,2162,-33.8835918,150.9998601,
32,Circular Quay Train Station,"Circular Quay Railway Station, Alfred St, Sydney NSW 2000, Australia",,Alfred Street,Sydney,2000,-33.8611772,151.2106885,
33,Clarendon Train Station,"Clarendon NSW 2756, Australia",,,Clarendon,2756,-33.6085113,150.7879184,
34,Clyde Train Station,"Granville NSW 2142, Australia",,,Granville,2142,-33.8358494,151.0168574,
35,Como Train Station,"Como NSW 2226, Australia",,,Como,2226,-34.004265,151.067993,
36,Concord West Train Station,"Concord West NSW 2138, Australia",,,Concord West,2138,-33.8484989,151.085587,
37,Cronulla Train Station,"Cronulla NSW 2230, Australia",,,Cronulla,2230,-34.0557489,151.1515177,
38,Croydon Train Station,"Croydon NSW 2132, Australia",,,Croydon,2132,-33.8832473,151.1151841,
39,Denistone Train Station,"Denistone NSW 2114, Australia",,,Denistone,2114,-33.79955469999999,151.0867853,
40,Domestic Airport Train Station,"Mascot NSW 2020, Australia",,,Mascot,2020,-33.9336041,151.1811262,
41,Doonside Train Station,"Doonside NSW 2767, Australia",,,Doonside,2767,-33.763779,150.869003,
42,Dulwich Hill Train Station,"Dulwich Hill NSW 2203, Australia",,,Dulwich Hill,2203,-33.9111047,151.141175,
43,East Hills Train Station,"East Hills NSW 2213, Australia",,,East Hills,2213,-33.9617849,150.9846528,
44,East Richmond Train Station,"Richmond NSW 2753, Australia",,,Richmond,2753,-33.6017984,150.7591345,
45,Eastwood Train Station,"Eastwood NSW 2122, Australia",,,Eastwood,2122,-33.7901037,151.0819767,
46,Edgecliff Train Station,"Edgecliff NSW 2027, Australia",,,Edgecliff,2027,-33.879318,151.23642,
47,Edmondson Park Train Station,"Edmondson Train Station Rd, Edmondson Park NSW 2174, Australia",,,Edmondson Park,2174,-33.9692834,150.85866,
48,Emu Plains Train Station,"Emu Plains NSW 2750, Australia",,,Emu Plains,2750,-33.74573420000001,150.6718826,
49,Engadine Train Station,"Engadine NSW 2233, Australia",,,Engadine,2233,-34.0676142,151.0147694,
50,Epping Train Station,"Beecroft Rd, Epping NSW 2121, Australia",,Beecroft Road,Epping,2121,-33.77271959999999,151.0820495,
51,Erskineville Train Station,"Erskineville NSW 2043, Australia",,,Erskineville,2043,-33.9000757,151.1855598,
52,Fairfield Train Station,"Fairfield NSW 2165, Australia",,,Fairfield,2165,-33.8723854,150.9568218,
53,Flemington Train Station,"Homebush West NSW 2140, Australia",,,Homebush West,2140,-33.8649524,151.0701872,
54,Glenfield Train Station,"Railway Parade, Glenfield NSW 2167, Australia",,Railway Parade,Glenfield,2167,-33.9722348,150.8930947,
55,Gordon Train Station,"Gordon NSW 2072, Australia",,,Gordon,2072,-33.7557663,151.1543614,
56,Granville Train Station,"Granville NSW 2142, Australia",,,Granville,2142,-33.8327711,151.0119323,
57,Green Square Train Station,"Alexandria NSW 2015, Australia",,,Alexandria,2015,-33.9062418,151.2024545,
58,Guildford Train Station,"Guildford NSW 2161, Australia",,,Guildford,2161,-33.85422490000001,150.984419,
59,Gymea Train Station,"Gymea NSW 2227, Australia",,,Gymea,2227,-34.0348841,151.0854573,
60,Harris Park Train Station,"Station St W, Harris Park NSW 2150, Australia",,Station Street West,Harris Park,2150,-33.823315,151.007599,
61,Heathcote Train Station,"Heathcote NSW 2233, Australia",,,Heathcote,2233,-34.0879598,151.0080987,
62,Helensburgh Train Station,"Helensburgh NSW 2508, Australia",,,Helensburgh,2508,-34.1769231,150.9948512,
63,Holsworthy Train Station,"Holsworthy NSW 2173, Australia",,,Holsworthy,2173,-33.96316580000001,150.9566821,
64,Homebush Train Station,"Homebush NSW 2140, Australia",,,Homebush,2140,-33.8668843,151.0859661,
65,Hornsby Train Station,"Hornsby NSW 2077, Australia",,,Hornsby,2077,-33.703522,151.09848,
66,Hurlstone Park Train Station,"Hurlstone Park NSW 2193, Australia",,,Hurlstone Park,2193,-33.9101766,151.1324875,
67,Hurstville Train Station,"Ormonde Parade, Hurstville NSW 2220, Australia",,Ormonde Parade,Hurstville,2220,-33.9676514,151.1023441,
68,Ingleburn Train Station,"Ingleburn NSW 2565, Australia",,,Ingleburn,2565,-33.9975793,150.8640626,
69,International Airport Train Station,"Mascot NSW 2020, Australia",,,Mascot,2020,-33.9349888,151.1658066,
70,Jannali Train Station,"Jannali NSW 2226, Australia",,,Jannali,2226,-34.01589740000001,151.0645506,
71,Killara Train Station,"Killara NSW 2071, Australia",,,Killara,2071,-33.76547599999999,151.161697,
72,Kings Cross Train Station,"Darlinghurst Rd, Potts Point NSW 2011, Australia",,Darlinghurst Road,Potts Point,2011,-33.874268,151.222611,
73,Kingsgrove Train Station,"Kingsgrove NSW 2208, Australia",,,Kingsgrove,2208,-33.9406036,151.1005328,
74,Kingswood Train Station,"Kingswood NSW 2747, Australia",,,Kingswood,2747,-33.75838349999999,150.7204858,
75,Kirrawee Train Station,"Kirrawee NSW 2232, Australia",,,Kirrawee,2232,-34.0349682,151.0715823,
76,Kogarah Train Station,"1 Railway Parade, Kogarah NSW 2217, Australia",1,Railway Parade,Kogarah,2217,-33.962728,151.1324438,
77,Lakemba Train Station,"Lakemba NSW 2195, Australia",,,Lakemba,2195,-33.9201175,151.0758525,
78,Leightonfield Train Station,"Villawood NSW 2163, Australia",,,Villawood,2163,-33.8814266,150.985237,
79,Leppington Train Station,"2179, 187 Rickard Rd, Leppington NSW 2179, Australia",187,Rickard Rd,Leppington,2179,-33.9543966,150.8080174,
80,Leumeah Train Station,"Leumeah NSW 2560, Australia",,,Leumeah,2560,-34.0507788,150.8306041,
81,Lewisham Train Station,"4 Victoria St, Lewisham NSW 2049, Australia",4,Victoria Street,Lewisham,2049,-33.8932518,151.147421,
82,Lidcombe Train Station,"Railway Parade, Lidcombe NSW 2141, Australia",,Railway Parade,Lidcombe,2141,-33.8636195,151.0447322,
83,Lindfield Train Station,"Lindfield NSW 2070, Australia",,,Lindfield,2070,-33.7756649,151.1691041,
84,Liverpool Train Station,"Liverpool NSW 2170, Australia",,,Liverpool,2170,-33.9243088,150.9272096,
85,Loftus Train Station,"Loftus NSW 2232, Australia",,,Loftus,2232,-34.04510459999999,151.0511986,
86,Macarthur Train Station,"Menangle Rd, Campbelltown NSW 2560, Australia",,Menangle Road,Campbelltown,2560,-34.07195,150.7972521,
87,Macdonaldtown Train Station,"Eveleigh NSW 2015, Australia",,,Eveleigh,2015,-33.896767,151.18634,
88,Macquarie Fields Train Station,"Macquarie Fields NSW 2564, Australia",,,Macquarie Fields,2564,-33.9847434,150.8790718,
89,Marayong Train Station,"Marayong NSW 2148, Australia",,,Marayong,2148,-33.746309,150.9001946,
90,Marrickville Train Station,"Marrickville NSW 2204, Australia",,,Marrickville,2204,-33.9138005,151.1531604,
91,Martin Place Train Station,"Sydney NSW 2000, Australia",,,Sydney,2000,-33.867964,151.2117024,
92,Mascot Train Station,"Mascot NSW 2020, Australia",,,Mascot,2020,-33.9233037,151.1874205,
93,Meadowbank Train Station,"Meadowbank NSW 2114, Australia",,,Meadowbank,2114,-33.8159902,151.0901473,
94,Merrylands Train Station,"Merrylands NSW 2160, Australia",,,Merrylands,2160,-33.8365039,150.9925513,
95,Milsons Point Train Station,"Milsons Point NSW 2061, Australia",,,Milsons Point,2061,-33.8458583,151.2118248,
96,Minto Train Station,"Minto NSW 2566, Australia",,,Minto,2566,-34.027309,150.8424663,
97,Miranda Train Station,"Miranda NSW 2228, Australia",,,Miranda,2228,-34.0363092,151.1025585,
98,Mortdale Train Station,"Mortdale NSW 2223, Australia",,,Mortdale,2223,-33.9706593,151.0812475,
99,Mount Colah Train Station,"Mount Colah NSW 2079, Australia",,,Mount Colah,2079,-33.6714627,151.1149343,
100,Mount Druitt Train Station,"Mount Druitt NSW 2770, Australia",,,Mount Druitt,2770,-33.769581,150.820129,
101,Mount Kuring-gai Train Station,"Mount Kuring-gai NSW 2080, Australia",,,Mount Kuring-gai,2080,-33.65316469999999,151.1368566,
102,Mulgrave Train Station,"Mulgrave NSW 2756, Australia",,,Mulgrave,2756,-33.6266347,150.8304822,
103,Museum Train Station,"Sydney NSW 2000, Australia",,,Sydney,2000,-33.8765397,151.2098093,
104,Narwee Train Station,"Narwee NSW 2209, Australia",,,Narwee,2209,-33.9475813,151.0702694,
105,Newtown Train Station,"330 King St, Newtown NSW 2042, Australia",330,King Street,Newtown,2042,-33.8979962,151.1796353,
106,Normanhurst Train Station,"Normanhurst NSW 2076, Australia",,,Normanhurst,2076,-33.7208698,151.097172,
107,North Strathfield Train Station,"North Strathfield NSW 2137, Australia",,,North Strathfield,2137,-33.8589529,151.0881083,
108,North Sydney Train Station,"Blue St, North Sydney NSW 2060, Australia",,Blue Street,North Sydney,2060,-33.841209,151.207413,
109,Oatley Train Station,"Oatley NSW 2223, Australia",,,Oatley,2223,-33.9807522,151.0790521,
110,Olympic Park Train Station,"Sydney Olympic Park NSW 2127, Australia",,,Sydney Olympic Park,2127,-33.84652069999999,151.0695205,
111,Padstow Train Station,"Padstow NSW 2211, Australia",,,Padstow,2211,-33.9518961,151.0323912,
112,Panania Train Station,"Panania NSW 2213, Australia",,,Panania,2213,-33.9543247,150.997845,
113,Parramatta Train Station,"Parramatta NSW 2150, Australia",,,Parramatta,2150,-33.81724199999999,151.004883,
114,Pendle Hill Train Station,"Pendle Hill NSW 2145, Australia",,,Pendle Hill,2145,-33.8013195,150.9563844,
115,Pennant Hills Train Station,"Pennant Hills NSW 2120, Australia",,,Pennant Hills,2120,-33.7381109,151.0724737,
116,Penrith Train Station,"Penrith NSW 2750, Australia",,,Penrith,2750,-33.750101,150.6958417,
117,Penshurst Train Station,"Penshurst NSW 2222, Australia",,,Penshurst,2222,-33.9661564,151.0891512,
118,Petersham Train Station,"Petersham NSW 2049, Australia",,,Petersham,2049,-33.89391909999999,151.1551268,
119,Punchbowl Train Station,"Punchbowl NSW 2196, Australia",,,Punchbowl,2196,-33.9253492,151.0555308,
120,Pymble Train Station,"Pymble NSW 2073, Australia",,,Pymble,2073,-33.7446757,151.1419637,
121,Quakers Hill Train Station,"Quakers Hill NSW 2763, Australia",,,Quakers Hill,2763,-33.7274173,150.886186,
122,Redfern Train Station,"Eveleigh NSW 2015, Australia",,,Eveleigh,2015,-33.8916327,151.198771,
123,Regents Park Train Station,"Regents Park NSW 2143, Australia",,,Regents Park,2143,-33.88298799999999,151.024185,
124,Revesby Train Station,"Revesby NSW 2212, Australia",,,Revesby,2212,-33.9524486,151.0148924,
125,Rhodes Train Station,"Rhodes NSW 2138, Australia",,,Rhodes,2138,-33.8305508,151.0870825,
126,Richmond Train Station,"Richmond NSW 2753, Australia",,,Richmond,2753,-33.5988159,150.7525297,
127,Riverstone Train Station,"Riverstone NSW 2765, Australia",,,Riverstone,2765,-33.6790691,150.8604102,
128,Riverwood Train Station,"Riverwood NSW 2210, Australia",,,Riverwood,2210,-33.95147849999999,151.0524899,
129,Rockdale Train Station,"Rockdale NSW 2216, Australia",,,Rockdale,2216,-33.9522623,151.1367137,
130,Rooty Hill Train Station,"Rooty Hill NSW 2766, Australia",,,Rooty Hill,2766,-33.77156100000001,150.8451541,
131,Roseville Train Station,"Roseville NSW 2069, Australia",,,Roseville,2069,-33.78418600000001,151.1772762,
132,Schofields Train Station,"Schofields NSW 2762, Australia",,,Schofields,2762,-33.7046401,150.8738676,
133,Sefton Train Station,"Sefton NSW 2162, Australia",,,Sefton,2162,-33.8852346,151.0114608,
134,Seven Hills Train Station,"The Centre, Terminus Rd, Seven Hills NSW 2147, Australia",,Terminus Road,Seven Hills,2147,-33.7743033,150.9361487,
135,St James Train Station,"Sydney NSW 2000, Australia",,,Sydney,2000,-33.87067640000001,151.2104527,
136,St Leonards Train Station,"St Leonards NSW 2065, Australia",,,St Leonards,2065,-33.82224699999999,151.194107,
137,St Marys Train Station,"North St Marys NSW 2760, Australia",,,North Saint Marys,2760,-33.762096,150.775146,
138,St Peters Train Station,"St Peters NSW 2044, Australia",,,Saint Peters,2044,-33.90749609999999,151.180357,
139,Stanmore Train Station,"Trafalgar St, Stanmore NSW 2048, Australia",,Trafalgar Street,Stanmore,2048,-33.8946699,151.163952,
140,Strathfield Train Station,"Strathfield NSW 2135, Australia",,,Strathfield,2135,-33.87222289999999,151.094264,
141,Summer Hill Train Station,"Summer Hill NSW 2130, Australia",,,Summer Hill,2130,-33.8904436,151.1387263,
142,Sutherland Train Station,"Sutherland NSW 2232, Australia",,,Sutherland,2232,-34.0315158,151.0573585,
143,Sydenham Train Station,"Sydenham NSW 2044, Australia",,,Sydenham,2044,-33.9147769,151.1660516,
144,Tempe Train Station,"Tempe NSW 2204, Australia",,,Tempe,2204,-33.9237692,151.1565526,
145,Thornleigh Train Station,"Thornleigh NSW 2120, Australia",,,Thornleigh,2120,-33.7318189,151.0783812,
146,Toongabbie Train Station,"Toongabbie NSW 2146, Australia",,,Toongabbie,2146,-33.787292,150.951538,
147,Town Hall Train Station,"George St, Sydney NSW 2000, Australia",,George Street,Sydney,2000,-33.87320539999999,151.2071181,
148,Turramurra Train Station,"Rohini St, Turramurra NSW 2074, Australia",,Rohini Street,Turramurra,2074,-33.732324,151.1283718,
149,Turrella Train Station,"Turrella NSW 2205, Australia",,,Turrella,2205,-33.9299019,151.139968,
150,Villawood Train Station,"Villawood NSW 2163, Australia",,,Villawood,2163,-33.88088700000001,150.976053,
151,Vineyard Train Station,"Richards NSW 2765, Australia",,,Richards,2765,-33.6504115,150.8511407,
152,Wahroonga Train Station,"Wahroonga NSW 2076, Australia",,,Wahroonga,2076,-33.7174831,151.1169687,
153,Waitara Train Station,"Waitara NSW 2077, Australia",,,Waitara,2077,-33.7100629,151.1044132,
154,Warrawee Train Station,"Warradale SA 5046, Australia",,,Warradale,5046,-35.011347,138.533608,
155,Warwick Farm Train Station,"Railway Pathway, Warwick Farm NSW 2170, Australia",,Railway Pathway,Warwick Farm,2170,-33.9130751,150.9352109,
156,Waterfall Train Station,"Waterfall NSW 2233, Australia",,,Waterfall,2233,-34.134502,150.9944924,
157,Waverton Train Station,"Waverton NSW 2060, Australia",,,Waverton,2060,-33.83760099999999,151.197388,
158,Wentworthville Train Station,"Wentworthville NSW 2145, Australia",,,Wentworthville,2145,-33.807114,150.972733,
159,Werrington Train Station,"Werrington NSW 2747, Australia",,,Werrington,2747,-33.7592392,150.7576771,
160,West Ryde Train Station,"West Ryde NSW 2114, Australia",,,West Ryde,2114,-33.8073346,151.0901785,
161,Westmead Train Station,"Westmead NSW 2145, Australia",,,Westmead,2145,-33.8083956,150.9879175,
162,Wiley Park Train Station,"Wiley Park NSW 2195, Australia",,,Wiley Park,2195,-33.9226901,151.06808,
163,Windsor Train Station,"Windsor NSW 2756, Australia",,,Windsor,2756,-33.6137621,150.8112687,
164,Wolli Creek Train Station,"Brodie Spark Dr, Wolli Creek NSW 2205, Australia",,Brodie Spark Drive,Wolli Creek,2205,-33.9286108,151.1540195,
165,Wollstonecraft Train Station,"Wollstonecraft NSW 2065, Australia",,,Wollstonecraft,2065,-33.8319307,151.1918461,
166,Woolooware Train Station,"Woolooware NSW 2230, Australia",,,Woolooware,2230,-34.047718,151.143997,
167,Wynyard Train Station,"Sydney NSW 2000, Australia",,,Sydney,2000,-33.8657055,151.2061744,
168,Yagoona Train Station,"Yagoona NSW 2199, Australia",,,Yagoona,2199,-33.9069723,151.0244857,
169,Yennora Train Station,"Yennora NSW 2161, Australia",,,Yennora,2161,-33.8647428,150.9707794,
170,Woollahra Public School,"Forth St, Woollahra NSW 2025, Australia",,Forth Street,Woollahra,2025,-33.886567,151.2412598,100.0
171,Beecroft Public School,"90-98 Beecroft Rd, Beecroft NSW 2119, Australia",90-98,Beecroft Road,Beecroft,2119,-33.75216630000001,151.0651659,100.0
172,Matthew Pearce Public School,"4G Astoria Park Rd, Baulkham Hills NSW 2153, Australia",4G,Astoria Park Road,Baulkham Hills,2153,-33.7583711,150.9634567,100.0
173,Artarmon Public School,"1 Abbott Rd, Artarmon NSW 2064, Australia",1,Abbott Road,Artarmon,2064,-33.8114011,151.1858946,100.0
174,St Ives North Public School,"87 Memorial Ave, St. Ives NSW 2075, Australia",87,Memorial Avenue,Saint Ives,2075,-33.7186734,151.1635642,100.0
175,Hornsby North Public School,"52 Ida St, Hornsby NSW 2077, Australia",52,Ida Street,Hornsby,2077,-33.6833506,151.0982756,100.0
176,North Rocks Public School,"359 N Rocks Rd, North Rocks NSW 2151, Australia",359,North Rocks Road,North Rocks,2151,-33.7685086,151.0255725,99.0
177,Carlingford West Public School,"Felton Rd, Carlingford NSW 2118, Australia",,Felton Road,Carlingford,2118,-33.7820239,151.0379301,99.0
178,Dural Public School,"622 Old Northern Rd, Dural NSW 2158, Australia",622,Old Northern Road,Dural,2158,-33.6868325,151.0271671,99.0
179,Waitara Public School,"Myra St, Wahroonga NSW 2076, Australia",,Myra Street,Wahroonga,2076,-33.7082024,151.1106302,99.0
180,Excelsior Public School,"Rondelay Dr, Castle Hill NSW 2154, Australia",,Rondelay Drive,Castle Hill,2154,-33.7405015,150.9904138,99.0
181,Summer Hill Public School,"Moonbie St, Summer Hill NSW 2130, Australia",,Moonbie Street,Summer Hill,2130,-33.89579,151.1361567,99.0
182,Hurstville Public School,"Forest Rd, Hurstville NSW 2220, Australia",,Forest Road,Hurstville,2220,-33.9647871,151.1111195,99.0
183,Oakhill Drive Public School,"1-5 Oakhill Dr, Castle Hill NSW 2154, Australia",1-5,Oakhill Drive,Castle Hill,2154,-33.721815,151.0232229,99.0
184,Epping Public School,"Norfolk Rd, Epping NSW 2121, Australia",,Norfolk Road,Epping,2121,-33.7709538,151.0876805,99.0
185,Sutherland Public School,"38/54 Eton St, Sutherland NSW 2232, Australia",54,Eton Street,Sutherland,2232,-34.03308669999999,151.0587889,99.0
186,Epping West Public School,"96 Carlingford Rd, Epping NSW 2121, Australia",96,Carlingford Road,Epping,2121,-33.772808,151.0681516,99.0
187,Balmain Public School,"1 Eaton St, Balmain NSW 2041, Australia",1,Eaton Street,Balmain,2041,-33.8591216,151.1833319,99.0
188,Neutral Bay Public School,"175 Ben Boyd Rd, Neutral Bay NSW 2089, Australia",175,Ben Boyd Road,Neutral Bay,2089,-33.83214659999999,151.2199561,98.0
189,Eastwood Heights Public School,"9A Lincoln St, Eastwood NSW 2122, Australia",9A,Lincoln Street,Eastwood,2122,-33.7813778,151.0957449,98.0
190,Eastwood Public School,"Rowe St, Eastwood NSW 2122, Australia",,Rowe Street,Eastwood,2122,-33.7925285,151.0778888,98.0
191,Cherrybrook Public School,"131 New Line Rd, Cherrybrook NSW 2126, Australia",131,New Line Road,Cherrybrook,2126,-33.73145949999999,151.0432965,98.0
192,Lindfield East Public School,"90 Tryon Rd, East Lindfield NSW 2070, Australia",90,Tryon Road,East Lindfield,2070,-33.7676755,151.1845989,98.0
193,Murray Farm Public School,"18 Tracey Ave, Carlingford NSW 2118, Australia",18,Tracey Avenue,Carlingford,2118,-33.7663244,151.039591,98.0
194,Killara Public School,"1 Ridgeland Ave, Killara NSW 2071, Australia",1,Ridgeland Avenue,Killara,2071,-33.7659154,151.1486014,98.0
195,Ironbark Ridge Public School,"1 Ironbark Ridge Rd, Rouse Hill NSW 2155, Australia",1,Ironbark Ridge Road,Rouse Hill,2155,-33.688216,150.9326715,98.0
196,John Purchase Public School,"Purchase Rd, Cherrybrook NSW 2126, Australia",,Purchase Road,Cherrybrook,2126,-33.718909,151.0395618,98.0
197,Roseville Public School,"19A Archbold Rd, Roseville NSW 2069, Australia",19A,Archbold Road,Roseville,2069,-33.78236690000001,151.1883543,98.0
198,Epping Heights Public School,"128 Kent St, Epping NSW 2121, Australia",128,Kent Street,Epping,2121,-33.76267,151.073981,98.0
199,Picnic Point Public School,"12 Prince St, Picnic Point NSW 2213, Australia",12,Prince Street,Picnic Point,2213,-33.96917210000001,151.0100912,97.0
200,Turramurra Public School,"164/174 Kissing Point Rd, Turramurra NSW 2074, Australia",174,Kissing Point Road,Turramurra,2074,-33.7440501,151.1133762,97.0
201,Warrawee Public School,"1486 Pacific Hwy, Warrawee NSW 2074, Australia",1486,Pacific Highway,Warrawee,2074,-33.7295182,151.1211656,97.0
202,Pennant Hills Public School,"Ramsay Rd & Weemala Road, Pennant Hills NSW 2120, Australia",,,Pennant Hills,2120,-33.73585310000001,151.0680956,97.0
203,Kent Road Public School,"Kent Rd, Eastwood NSW 2122, Australia",,Kent Road,Eastwood,2122,-33.7870284,151.1080873,97.0
204,Oatley Public School,"51 Letitia St, Oatley NSW 2223, Australia",51,Letitia Street,Oatley,2223,-33.9846578,151.0805963,97.0
205,West Ryde Public School,"6 Endeavour St, West Ryde NSW 2114, Australia",6,Endeavour Street,West Ryde,2114,-33.80826819999999,151.0851327,97.0
206,Earlwood Public School,"396 Homer St, Earlwood NSW 2206, Australia",396,Homer Street,Earlwood,2206,-33.9282696,151.1228174,97.0
207,Holsworthy Public School,"36 Infantry Parade, Holsworthy NSW 2173, Australia",36,Infantry Parade,Holsworthy,2173,-33.955975,150.9547119,97.0
208,West Pymble Public School,"10 Apollo Ave, West Pymble NSW 2073, Australia",10,Apollo Avenue,West Pymble,2073,-33.7639434,151.1243224,96.0
209,Rose Bay Public School,"Albemarle Ave, Rose Bay NSW 2029, Australia",,Albemarle Avenue,Rose Bay,2029,-33.8729763,151.2711445,96.0
210,Kellyville Public School,"35A Windsor Rd, Kellyville NSW 2155, Australia",35A,Windsor Road,Kellyville,2155,-33.71108869999999,150.9578027,96.0
211,Kambora Public School,"37 Woolrych Cres, Davidson NSW 2085, Australia",37,Woolrych Crescent,Davidson,2085,-33.73995310000001,151.1945813,96.0
212,Glenhaven Public School,"76 Glenhaven Rd, Glenhaven NSW 2156, Australia",76,Glenhaven Road,Glenhaven,2156,-33.6997755,151.001974,96.0
213,Lane Cove Public School,"145-153 Longueville Rd, Lane Cove NSW 2066, Australia",145-153,Longueville Road,Lane Cove,2066,-33.8164739,151.1693502,96.0
214,North Ryde Public School,"154 Coxs Rd, North Ryde NSW 2113, Australia",154,Coxs Road,North Ryde,2113,-33.7945522,151.1206583,96.0
215,Roselea Public School,"549 N Rocks Rd, Carlingford NSW 2118, Australia",549,North Rocks Road,Carlingford,2118,-33.7651811,151.0526917,96.0
216,Thornleigh West Public School,"Giblett Ave, Thornleigh NSW 2120, Australia",,Giblett Avenue,Thornleigh,2120,-33.72442840000001,151.0719431,95.0
217,Wahroonga Public School,"71 Burns Rd, Wahroonga NSW 2076, Australia",71,Burns Road,Wahroonga,2076,-33.7156041,151.1283931,95.0
218,Gordon West Public School,"146 Ryde Rd, Pymble NSW 2073, Australia",146,Ryde Road,Pymble,2073,-33.76035299999999,151.1388946,95.0
219,Pymble Public School,"Crown Rd, Pymble NSW 2073, Australia",,Crown Road,Pymble,2073,-33.7317209,151.1412244,95.0
220,Mosman Public School,"27 Belmont Rd, Mosman NSW 2088, Australia",27,Belmont Road,Mosman,2088,-33.8280416,151.2411925,95.0
221,Carlingford Public School,"5 Rickard St, Carlingford NSW 2118, Australia",5,Rickard Street,Carlingford,2118,-33.7796939,151.0551078,95.0
222,Lugarno Public School,"38 Old Forest Rd, Lugarno NSW 2210, Australia",38,Old Forest Road,Lugarno,2210,-33.9851049,151.0454138,95.0
223,Randwick Public School,"78 Avoca St, Randwick NSW 2031, Australia",78,Avoca Street,Randwick,2031,-33.9102057,151.2426034,95.0
224,Beaumont Road Public School,"17 Beaumont Rd, Killara NSW 2071, Australia",17,Beaumont Road,Killara,2071,-33.7749134,151.1460034,95.0
225,Bellevue Hill Public School,"163A Victoria Rd, Bellevue Hill NSW 2023, Australia",163A,Victoria Road,Bellevue Hill,2023,-33.88700659999999,151.2594588,95.0
226,Wilkins Public School,"31 Park Rd, Marrickville NSW 2204, Australia",31,Park Road,Marrickville,2204,-33.9014982,151.1558005,94.0
227,Caringbah North Public School,"125 Cawarra Rd, Caringbah NSW 2229, Australia",125,Cawarra Road,Caringbah,2229,-34.0364099,151.1239356,94.0
228,Anzac Park Public School,"2 Anzac Ave, Cammeray NSW 2062, Australia",2,Anzac Avenue,Cammeray,2062,-33.8265745,151.2107068,94.0
229,Darlinghurst Public School,"Womerah Ave, Potts Point NSW 2011, Australia",,Womerah Avenue,Potts Point,2011,-33.8785078,151.2234204,94.0
230,Annandale North Public School,"206 Johnston St, Annandale NSW 2038, Australia",206,Johnston Street,Annandale,2038,-33.8781224,151.1719679,94.0
231,Oatley West Public School,"Oatley Park Ave, Oatley NSW 2223, Australia",,Oatley Park Avenue,Oatley,2223,-33.9793057,151.0656485,94.0
232,Epping North Public School,"Boundary Rd, North Epping NSW 2121, Australia",,Boundary Road,North Epping,2121,-33.7567865,151.0951662,94.0
233,Mowbray Public School,"635 Mowbray Rd, Lane Cove North NSW 2066, Australia",635,Mowbray Road,Lane Cove North,2066,-33.804238,151.1552718,94.0
234,Castle Cove Public School,"Holly St, Castle Cove NSW 2069, Australia",,Holly Street,Castle Cove,2069,-33.7827191,151.2019005,93.0
235,Lindfield Public School,"218 Pacific Hwy, Lindfield NSW 2070, Australia",218,Pacific Highway,Lindfield,2070,-33.7809803,151.1692411,93.0
236,Haberfield Public School,"Bland St, Haberfield NSW 2045, Australia",,Bland Street,Haberfield,2045,-33.87905649999999,151.1345498,93.0
237,Denistone East Public School,"Eastwood NSW 2122, Australia",,,Eastwood,2122,-33.793304,151.0968031,93.0
238,Crestwood Public School,"38 Peel Rd, Baulkham Hills NSW 2153, Australia",38,Peel Road,Baulkham Hills,2153,-33.7490925,150.9720365,93.0
239,North Sydney Public School,"Bay Rd, Waverton NSW 2060, Australia",,Bay Road,Waverton,2060,-33.8349305,151.2037771,93.0
240,Cammeray Public School,"Palmer St, Cammeray NSW 2062, Australia",,Palmer Street,Cammeray,2062,-33.82107060000001,151.2118875,93.0
241,Castle Hill Public School,"5 Les Shore Pl, Castle Hill NSW 2154, Australia",5,Les Shore Place,Castle Hill,2154,-33.7278736,151.0046479,93.0
242,Illawong Public School,"276 Fowler Rd, Illawong NSW 2234, Australia",276,Fowler Road,Illawong,2234,-33.9984092,151.0423889,93.0
243,Bronte Public School,"13 Hewlett St, Bronte NSW 2024, Australia",13,Hewlett Street,Bronte,2024,-33.9005404,151.2622363,93.0
244,Seaforth Public School,"37 Kempbridge Ave, Seaforth NSW 2092, Australia",37,Kempbridge Avenue,Seaforth,2092,-33.79382729999999,151.2510429,93.0
245,St Johns Park Public School,"Sandringham St, St Johns Park NSW 2176, Australia",,Sandringham Street,Saint Johns Park,2176,-33.8872659,150.8992973,92.0
246,Normanhurst Public School,"2 Normanhurst Rd, Normanhurst NSW 2076, Australia",2,Normanhurst Road,Normanhurst,2076,-33.7237602,151.0974799,92.0
247,Middle Harbour Public School,"8 Hale Rd, Mosman NSW 2088, Australia",8,Hale Road,Mosman,2088,-33.8234008,151.2329343,92.0
248,Leichhardt Public School,"Marion St, Leichhardt NSW 2040, Australia",,Marion Street,Leichhardt,2040,-33.8839558,151.1577201,92.0
249,Normanhurst West Public School,"4/10 Dartford Rd, Thornleigh NSW 2120, Australia",10,Dartford Road,Thornleigh,2120,-33.72160459999999,151.0881063,92.0
250,Greystanes Public School,"781 Merrylands Rd, Greystanes NSW 2145, Australia",781,Merrylands Road,Greystanes,2145,-33.8280989,150.9412748,92.0
